Comment,Sentiment
தங்க பிள்ளை குமரன்,1
முத்து நாய்க் காக பிபி கொண்டாட்டம் பார்க்காமே இருந்துடலாம் னு தோணுது சவுண்ட் காக மட்டும் பார்ப்பேன்,-1
குமரா அண்ணி ஜெயிச்சுட்டட,0
முத்து வாழ்க தமிழ் வாழ்க,1
முத்துவின் வெற்றி தமிழுக்கு கிடைத்து வெற்றி,1
தீபக் மனைவி படிக்காதவராகவும் கலாச்சாரமற்றவராகவும் கண்மூடித்தனமாக கணவனுக்கு ஆதரவாக இருக்கிறார் ஈவ் டீசிங் இருக்கிறது ஆனால் அடம் டீசிங் இல்லை பெண் உடலும் ஆண் உடலும் ஒரே மாதிரி இருப்பதில்லை தீபக் விஷாலுடன் சௌந்தர்யாவை அவமானப்படுத்தினார் அவர் அதை ஆதரிக்கிறார் இரக்கமற்ற மனைவி அவமானம் அவர்களுக்கு அருண் அவர்களைப் பற்றி சரியாகச் சொன்னார் அவர்கள் எல்லோரையும் விட உயர்ந்தவர்கள் என்று நினைக்கிறார்கள்,0
முத்துக்குமாரன் டைட்டில் வின்னர் சிங்கடா அண்ணா,1
௭ங்கள் முத்து,1
நீங்களும் உங்கள் அன்புக் குடும்பமும் நட்பும் வாழ்க வளமுடன்,1
குமரா,1
முத்து தம்பி வாழ்க வளமுடன்,1
இருக்குற பண பிரச்சனைய இல்லாம பண்றத்துக்கு இல்லாத பல பிரச்சனைய இருக்குற மாதிரி பண்றத்துக்கு இரண்டுதுக்கும் ஒரே இடம் இந்த பிக்பாஸ்,-1
குமார,1
ஓம் நமோ லஷ்மி நாராயணா,1
ஓம் சிவ சக்தி,1
நன்றி,1
நன்றி அம்மா,1
அம்மா உங்களை எனக்கு ரொம்ப பிடிக்கும்,-1
நன்றி அம்மா,1
அம்மா நானும் தினமும் விளக்கு எதுவாயின் அம்மா,0
அம்மா நான் பூஜை பண்ணும் பொழுது ஏதோ ஒன்னு தடங்கல் ஆகுது எதனாலிங்கம்மா,-1
மந்திரம் ஒலிக்க செய்கிறேன் அம்மா சாம்பிராணி விளக்கு ஏற்றுவது மணி அடித்து பூஜை செய்வது பின்பற்றுகிரேன் அம்மா நன்றி அம்மா,1
வைகுண்ட ஏகாதசி விரதம் பற்றி சொல்லுங்க,-1
நீங்கள் சொல்வது சரிதான் அம்மா,1
கந்த சஷ்டி கவசம் உங்கள் குரலில் போடுங்க அம்மா,1
அம்மா எனக்கு மன குழப்பம் உள்ளது நாங்கள் சாமி அரை புதுசாக போட்டோம் அதில் ஒரு பக்கம் விநாயகர் வைத்து செய்து உள்ளோம் எந்த ஹில்ஸ் உம் இல்ல கட்காற்று வர போக வழி இல்லை எப்படி குடது என்று சொல்ராக சிலர் இருக்கலாமா குடதா கூடாத,-1
அம்மா நாங்க அபார்ட்மென்ட்ல இருக்கோம் எங்க வீட்டுக்கு எதிர்வீட்டுல முஸ்லிம் வீடு இருக்காங்க நாங்க வடைக்குக்கு குடி இருக்கிற வீடும் முஸ்லிம் வீடுதான் நீங்க சொல்றமாறி நான் காலைல பூஜைசெய்யுறேன் ஆனா மணி அடிச்சா சத்தம் கேட்க்குறானல பக்கத்து வீட்டுல இருக்கிறவங்களுக்கு எல்லாம் தொந்தரவா இருக்குமோனு கஷ்டமா இருக்கு அதனால நான் மணி அடிக்கறது இல்ல பரவால்லையா ரெண்டாவது பூஜை செய்யும்போது வாசல் கதவு கட்டாயம் திறந்து இருக்கணுமா எங்க வீடு வடக்கு நோக்கி அமைந்திருக்கிறது கிழக்கு பக்கமாக பால்கனி இருக்கிறது வாசலை மூடிவிட்டு கிழக்கு பக்கம் இருக்கும் பால்கனியை திறந்துவிட்டு பூஜை செய்யலாமா காலையில் தயவுசெய்து எனது சந்தேகத்தை தீர்த்து வையுங்கள்,-1
நீங்க ரொம்ப நல்லா பேசுறீங்க ரொம்ப சூப்பர் உங்களை எனக்கு ரொம்ப புடிச்சிருக்கு,1
என்னுடைய பையன் தினமும் விளக்கேற்றுவதன் ஏழாம் வகுப்பு படிக்கிறான் அவனுக்கு ஆசீர்வாதம் கொடுங்கம்மா,1
மிக்க நன்றி,1
மிக்க நன்றி,1
அற்புதமான பதிவு,1
அம்மா எங்க அம்மா இறந்து நாட்களாகிறது அம்மா நான் அவங்கள பொன்னு நான எத்தனை நாட்கள் கழித்து பூஜை செய்ய வேண்டிய வேண்டும் அம்மா,-1
ஓம் ஊனைமலை தண்டாயுதபாணி வேல்முருகன் துணை,0
நெய் வெய்தியம் என்றால் என்ன,-1
செய்கிறேன் அம்மா உங்க பிரசங்கம் கேக்க ரொம்ப புடிக்கும்,-1
கங்குளியம் என்றால் என்ன சொல்லுங்கள்,-1
நன்றி,1
நன்றி அம்மா,1
தூபம் தீபம் ஆர்த்தி நெய்வேதியம் வீட்டில் பொதுவாக எல்லாம் தெய்வங்களுக்கும் செய்யும்போது சொல்ல வேண்டிய மந்திரம் சமஸ்கிருதத்தில் போடுங்கள் அம்மா,-1
அம்மா நான் தினமும் காலை க்கும் சாமி கும்பிடுகிறேன் சா நேத்து அதிகாலை சாமி கும்பிட்டு விட்டு மணிக்கு தூங்கினேன் கனவில் ஆண் பிள்ளை பெண் பிள்ளை எங்க வீட்டு வாசல்ல விளையாடினாங்க கதைவை தோரங்க நான் வரேன்னு உள்ள அப்படி நின்னங்க இன்னொருதவங்க வீடு குப்பையை கிடக்கிறது மாரி நான் சுத்தமா வை வீட்ட அப்டின்னு திட்டி வந்து ஏன் வீட்ட தொறந்தேன் ஏன் அப்டி கனவு வந்தது கொஞ்சம் தெளிவா கூறுங்கள் தாயே,-1
நன்றி நன்றி இறைவா போற்றி,1
இயேசு கிறிஸ்து உங்களை நேசிக்கிறார் இயேசு கிறிஸ்துவை விசுவாசியுங்கள் இயேசு கிறிஸ்துவோடு பேசுங்கள் அவர் உங்களோடு பேசுவார்,1
அம்மா நான் வீட்டில் பூஜையறையில் சிவனின் அரை பாகமாக நாகம் இருக்கும் ஓவியம் வரைந்தேன் அதை எல்லோரும் வரைவது சரியில்லை என்று சொல்லுகிறார்கள் அதை வீட்டில் வரையலாமா,-1
வீட்டில் பெரியவர்களே இல்லாத இந்தக்காலத்தில் கடவுள் தந்த வரமாக உங்களை நினைக்கிறோம் சகோதரிவீட்டில் மனபாரம் மனபயம் தோன்ற காரணம் என்ன அதைப்போக்க என்ன செய்ய வேண்டும் சகோதரி தயவுசெய்து பதில் தாருங்கள்,0
மங்கையர்கரசி தாயே நீங்கள் சொன்னால் மட்டுமே என் மூளை இயங்குகிறது மற்றவர் சொல்வது என் செவியில் ஏறவில்லை ஏதோ ஒரு சக்தி உள்ளது உங்களிடம்,-1
அம்மா நன்றி,1
அம்மா வணக்கம் எங்க வீட்டுகுள் குல தெய்வம் வரவில்லைஅதற்கு என்ன காரணம் நாங்கள் அதற்கு என்ன பரிகாரம் செய்ய வேண்டும் வீட்டில் உள்ளவர்களுக்கு மாறி மாறி நோய்கள் வருகிறதுஅம்மா அதற்கு வழிபாடு முறை தயவுசெய்து கூறுங்கள் அம்மா,-1
கல் உப்பு வைத்தால் கடன் அடையும் சொல்லுதாங்க பூஜா ரூம் கல் மண் சட்டி வைக்கலாமா,-1
எங்க அப்பா அம்மா நிறைய அமங்கள வார்த்தைகள் தான் பேசுறாங்க இப்போ எங்க வீட்டில் நிம்மதி இல்லை எவ்வளவு தான் கடவுளை கும்பிட்டலும் கஷ்டம் தான் இப்போ நானும் கோலத்தில் சில வார்த்தைகள் வருகிறது,-1
என் அன்பு சகோதரிக்கு ரொம்ப நன்றி,1
அடியேணின் பணிவான வணக்கம் அம்மா அம்மா தாங்கள் சொல்லியபடி முடிந்தவரை பூஜை செய்து வழிபாடு செய்துவகிறேன் அம்மா குரு மிக நண்றி அம்மா,1
மிக்க மகிழ்ச்சி நன்றி அம்மா,1
நாங்கள் வாடகை வீட்டில் இருக்கோம் மேற்கு பார்த்த பூஜை அறை சாமி படம் மேற்கு பார்த்து வைத்துள்ளேன் ஆனால் விளக்கு ஏற்றுவது எந்த திசையில் ஏற்றவேண்டும்,0
மந்திர சக்தி வாய்ந்த பக்தி பாடல் வேண்டும்,1
ஒளி வர விளக்கு தினமும் ஏற்ற வேண்டும்,1
நைவேத்தியம் ஏற்ற வேண்டும்,0
அம்முணி அல்ல அம்மிணி என்பதுதான் சரியான சொல்,0
செம்ம படிப்பு திருட்டு பய கொசு,0
அம்மணி பேசல பார்த்த காடை கூட்டமா இருக்கும்,0
சூப்பர் வாழ்த்துக்கள்,1
அம்மனி எப்படிரிக்கிங்கோ,-1
புல்லைனு,1
கட்டனும்,1
அழகு பேரரசி அழகான பேச்சு,1
அம்மினி அற்புதம்,1
நம்தலைமுறைதாண்டியும்நம்பிள்ளைகளும்பாரம்பரியமொழிகாக்கட்டும்,-1
கொங்கு தமிழ் மிக இனிமைவாழ்க வளர்க நின் பணி தொடர்க,1
கொங்கு நாட்டில் சிங்க பெண்ணே,-1
நாங்கள் குண்டடம் பகுதியில் காற்றாலை அமைக்கும் கிரேன்ல வேலை பார்க்கும் போது இஸ்வரிசெட்டிபாளையம் ஊரில் போடும் போது அங்கு இரண்டு குழந்தைகள் திவ்வி ஹேமானு இரண்டு குழந்தைகள் இந்த அம்னி போலவே கொங்கு தமிழ் ல போசுங்கள் ஞாபகம் வருகிறது,1
முட்டபயல் சேனலே ஒரு பகுதிக்கு ஒரு சிலாங் இருக்கும் அந்த பெண் பேசுவதில் ஏண்டா தேன் ஒழுவதாடா முட்டாபயலெ,-1
இதெல்லாம் இப்போ நடைமுறையில் இல்லைபேசுரதான் இப்படி செயற்கைநடைமுறையில் இவர்கள் விவசாயம் செய்கிறவர்களை மதிக்கவே மாட்டாங்கநடைமுறையில் ஆங்கிலம்தான் பேசுவாங்க,-1
எல்லாம் சரிதிருமணம் வேறே சாதிகூட,-1
சின்னஅமணி மறுக்க மறுக்க சொல்லுங்க,-1
சின்ன அம்மணி சங்கம் சார்பாக இந்த வீடியோ வெற்றிபெற வாழ்த்துக்கள்,1
வெளிநாட்டுக்கு வார விருப்ங்களா,1
டா தங்கம்,1
அருமையான பேச்சுங்கோ வாழ்த்துகிறேன்,1
அட அம்மிணி உன்ர கொங்கு தமிழ் கேக்கைல சந்தோசமா இருக்குதுங்க,-1
சின்ன அம்மிணியின் கொங்கு தமிழ் பேசுறது அருமை தங்கச்சிக்கு வாழ்த்துகள்,1
சூப்பர் கொங்கு தமிழச்சி அழகு தங்கம்,1
தங்கச்சி அழகான குரல்,1
அருமை,0
அருமை,0
மிகவும் சிறப்பு,1
எங்கள்தங்கங்களேஉங்கள்கொங்குதமிழுக்குவாழ்த்துக்கள்,-1
