Comment,Sentiment,tokens,filtered_tokens,processed_text
தங்க பிள்ளை குமரன்,1,"['தங்க', 'பிள்ளை', 'குமரன்']","['தங்க', 'பிள்ளை', 'குமரன்']",தங்க பிள்ளை குமரன்
முத்து நாய்க் காக பிபி கொண்டாட்டம் பார்க்காமே இருந்துடலாம் னு தோணுது சவுண்ட் காக மட்டும் பார்ப்பேன்,-1,"['முத்து', 'நாய்க்', 'காக', 'பிபி', 'கொண்டாட்டம்', 'பார்க்காமே', 'இருந்துடலாம்', 'னு', 'தோணுது', 'சவுண்ட்', 'காக', 'மட்டும்', 'பார்ப்பேன்']","['முத்து', 'நாய்க்', 'காக', 'பிபி', 'கொண்டாட்டம்', 'பார்க்காமே', 'இருந்துடலாம்', 'னு', 'தோணுது', 'சவுண்ட்', 'காக', 'மட்டும்', 'பார்ப்பேன்']",முத்து நாய்க் காக பிபி கொண்டாட்டம் பார்க்காமே இருந்துடலாம் னு தோணுது சவுண்ட் காக மட்டும் பார்ப்பேன்
குமரா அண்ணி ஜெயிச்சுட்டட,0,"['குமரா', 'அண்ணி', 'ஜெயிச்சுட்டட']","['குமரா', 'அண்ணி', 'ஜெயிச்சுட்டட']",குமரா அண்ணி ஜெயிச்சுட்டட
முத்து வாழ்க தமிழ் வாழ்க,1,"['முத்து', 'வாழ்க', 'தமிழ்', 'வாழ்க']","['முத்து', 'வாழ்க', 'தமிழ்', 'வாழ்க']",முத்து வாழ்க தமிழ் வாழ்க
முத்துவின் வெற்றி தமிழுக்கு கிடைத்து வெற்றி,1,"['முத்துவின்', 'வெற்றி', 'தமிழுக்கு', 'கிடைத்து', 'வெற்றி']","['முத்துவின்', 'வெற்றி', 'தமிழுக்கு', 'கிடைத்து', 'வெற்றி']",முத்துவின் வெற்றி தமிழுக்கு கிடைத்து வெற்றி
தீபக் மனைவி படிக்காதவராகவும் கலாச்சாரமற்றவராகவும் கண்மூடித்தனமாக கணவனுக்கு ஆதரவாக இருக்கிறார் ஈவ் டீசிங் இருக்கிறது ஆனால் அடம் டீசிங் இல்லை பெண் உடலும் ஆண் உடலும் ஒரே மாதிரி இருப்பதில்லை தீபக் விஷாலுடன் சௌந்தர்யாவை அவமானப்படுத்தினார் அவர் அதை ஆதரிக்கிறார் இரக்கமற்ற மனைவி அவமானம் அவர்களுக்கு அருண் அவர்களைப் பற்றி சரியாகச் சொன்னார் அவர்கள் எல்லோரையும் விட உயர்ந்தவர்கள் என்று நினைக்கிறார்கள்,0,"['தீபக்', 'மனைவி', 'படிக்காதவராகவும்', 'கலாச்சாரமற்றவராகவும்', 'கண்மூடித்தனமாக', 'கணவனுக்கு', 'ஆதரவாக', 'இருக்கிறார்', 'ஈவ்', 'டீசிங்', 'இருக்கிறது', 'ஆனால்', 'அடம்', 'டீசிங்', 'இல்லை', 'பெண்', 'உடலும்', 'ஆண்', 'உடலும்', 'ஒரே', 'மாதிரி', 'இருப்பதில்லை', 'தீபக்', 'விஷாலுடன்', 'சௌந்தர்யாவை', 'அவமானப்படுத்தினார்', 'அவர்', 'அதை', 'ஆதரிக்கிறார்', 'இரக்கமற்ற', 'மனைவி', 'அவமானம்', 'அவர்களுக்கு', 'அருண்', 'அவர்களைப்', 'பற்றி', 'சரியாகச்', 'சொன்னார்', 'அவர்கள்', 'எல்லோரையும்', 'விட', 'உயர்ந்தவர்கள்', 'என்று', 'நினைக்கிறார்கள்']","['தீபக்', 'மனைவி', 'படிக்காதவராகவும்', 'கலாச்சாரமற்றவராகவும்', 'கண்மூடித்தனமாக', 'கணவனுக்கு', 'ஆதரவாக', 'இருக்கிறார்', 'ஈவ்', 'டீசிங்', 'இருக்கிறது', 'ஆனால்', 'அடம்', 'டீசிங்', 'பெண்', 'உடலும்', 'ஆண்', 'உடலும்', 'ஒரே', 'மாதிரி', 'இருப்பதில்லை', 'தீபக்', 'விஷாலுடன்', 'சௌந்தர்யாவை', 'அவமானப்படுத்தினார்', 'அவர்', 'அதை', 'ஆதரிக்கிறார்', 'இரக்கமற்ற', 'மனைவி', 'அவமானம்', 'அவர்களுக்கு', 'அருண்', 'அவர்களைப்', 'பற்றி', 'சரியாகச்', 'சொன்னார்', 'அவர்கள்', 'எல்லோரையும்', 'விட', 'உயர்ந்தவர்கள்', 'நினைக்கிறார்கள்']",தீபக் மனைவி படிக்காதவராகவும் கலாச்சாரமற்றவராகவும் கண்மூடித்தனமாக கணவனுக்கு ஆதரவாக இருக்கிறார் ஈவ் டீசிங் இருக்கிறது ஆனால் அடம் டீசிங் பெண் உடலும் ஆண் உடலும் ஒரே மாதிரி இருப்பதில்லை தீபக் விஷாலுடன் சௌந்தர்யாவை அவமானப்படுத்தினார் அவர் அதை ஆதரிக்கிறார் இரக்கமற்ற மனைவி அவமானம் அவர்களுக்கு அருண் அவர்களைப் பற்றி சரியாகச் சொன்னார் அவர்கள் எல்லோரையும் விட உயர்ந்தவர்கள் நினைக்கிறார்கள்
முத்துக்குமாரன் டைட்டில் வின்னர் சிங்கடா அண்ணா,1,"['முத்துக்குமாரன்', 'டைட்டில்', 'வின்னர்', 'சிங்கடா', 'அண்ணா']","['முத்துக்குமாரன்', 'டைட்டில்', 'வின்னர்', 'சிங்கடா', 'அண்ணா']",முத்துக்குமாரன் டைட்டில் வின்னர் சிங்கடா அண்ணா
௭ங்கள் முத்து,1,"['௭ங்கள்', 'முத்து']","['௭ங்கள்', 'முத்து']",௭ங்கள் முத்து
நீங்களும் உங்கள் அன்புக் குடும்பமும் நட்பும் வாழ்க வளமுடன்,1,"['நீங்களும்', 'உங்கள்', 'அன்புக்', 'குடும்பமும்', 'நட்பும்', 'வாழ்க', 'வளமுடன்']","['நீங்களும்', 'உங்கள்', 'அன்புக்', 'குடும்பமும்', 'நட்பும்', 'வாழ்க', 'வளமுடன்']",நீங்களும் உங்கள் அன்புக் குடும்பமும் நட்பும் வாழ்க வளமுடன்
குமரா,1,['குமரா'],['குமரா'],குமரா
